LNUM	ENTREE	ORIGINE	RENVOI	DESTINATION
L1274	Polarisation	Polarisation	Modèle gravitaire	Modèle
L1275	Polarisation	Polarisation	Ségrégation	Ségrégation
L1276	Pôle	Pôle	Centre	Centre
L1277	Pôle	Pôle	Croissance	Croissance urbaine
L1278	Police	Police	Commune	Commune
L1279	Police	Police	Insécurité	Insécurité
L1280	Police	Police	Maire	Maire
L1281	Police	Police	Service	Services
L1282	Politique de la ville	Politique de la ville	DSQ	DSQ
L1283	Politique de la ville	Politique de la ville	Participation	Participation
L1284	Politique de la ville	Politique de la ville	Zones franches	Zone franche urbaine
L1285	Politique de la ville	Politique de la ville	Zones urbaines sensibles	Zone urbaine sensible
L1286	Pollution atmosphérique	Pollution atmosphérique	Air	Air
L1287	Pollution atmosphérique	Pollution atmosphérique	Environnement	Environnement
L1288	Pollution atmosphérique	Pollution atmosphérique	Hygiènisme	Hygiénisme
L1289	Pollution atmosphérique	Pollution atmosphérique	Nuisance	Nuisance
L1290	Population	Population	Croissance urbaine	Croissance urbaine
L1291	Population	Population	Fonction urbaine	Fonction urbaine
L1292	Population	Population	Habitant	Habitant
L1293	Population	Population	Migration	Migration
L1294	Port	Port	Fonction urbaine	Fonction urbaine
L1295	Porte	Porte	Barrière	Barrière
L1296	Porte	Porte	Circulation	Circulation
L1297	Porte	Porte	Fortification	Fortification
L1298	Porte	Porte	Situation	Situation
L1299	Portée	Portée	Champ urbain	Champ urbain
L1300	Portée	Portée	Contraction de l'espace-temps	Contraction de l'espace-temps
L1301	Portée	Portée	Distance	Distance
L1302	Portée	Portée	Théorie des lieux centraux	Théorie des lieux centraux
L1303	Post-modernisme	Post-modernisme	Architecture	Architecture urbaine
L1304	Post-modernisme	Post-modernisme	Modernité	Post-modernisme
L1305	Poubelle	Poubelle	Environnement	Environnement
L1306	Poubelle	Poubelle	Déchet ménager	Déchet ménager
L1307	Préemption (droit de)	Préemption (droit de)	Expropriation	Expropriation
L1308	Préemption (droit de)	Préemption (droit de)	Logement	Logement
L1309	Préemption (droit de)	Préemption (droit de)	Maîtrise foncière	Maîtrise foncière
L1310	Préemption (droit de)	Préemption (droit de)	PLU	PLU
L1311	Préemption (droit de)	Préemption (droit de)	Propriété	Propriétaire
L1312	Préemption (droit de)	Préemption (droit de)	Urbanisme	Urbanisme
L1313	Prix foncier et immobilier	Prix foncier et immobilier	Gradient	Gradient
L1314	Prix foncier et immobilier	Prix foncier et immobilier	Plus-value	Plus-value d'urbanisation
L1315	Prix foncier et immobilier	Prix foncier et immobilier	Rente	Rente
L1316	Prix foncier et immobilier	Prix foncier et immobilier	Spéculation	Spéculation
L1317	Prix foncier et immobilier	Prix foncier et immobilier	Temporalité	Temporalité
L1318	Programmation	Programmation	Advocacy planning	Advocacy planning
L1319	Programmation	Programmation	Participation	Participation
L1320	Programmation	Programmation	Planification urbaine	Planification urbaine
L1321	Programmation	Programmation	Politique de la ville	Politique de la ville
L1322	Programmation	Programmation	Projet urbain	Projet urbain
L1323	Progrès	Progrès	Développement durable	Développement durable
L1324	Progrès	Progrès	Urbanisme	Urbanisme
L1325	Projet urbain	Projet urbain	Advocacy planning	Advocacy planning
L1326	Projet urbain	Projet urbain	Concertation	Concertation
L1327	Projet urbain	Projet urbain	Urbanisme	Urbanisme
L1328	Promenade	Promenade	Allée	Allée
L1329	Promenade	Promenade	Flâneur	Flâneur
L1330	Promenade	Promenade	Mail	Mail
L1331	Promenade	Promenade	Parc	Parc
L1332	Promenade	Promenade	Piéton	Piéton
L1333	Promenade	Promenade	Promenadologie	Promenadologie
L1334	Promenade	Promenade	Rue	Rue
L1335	Promenadologie	Promenadologie	Flâneur	Flâneur
L1336	Promenadologie	Promenadologie	Mail	Mail
L1337	Promenadologie	Promenadologie	Promenade	Promenade
L1338	Promoteur	Promoteur	BTP	BTP
L1339	Promoteur	Promoteur	Logement	Logement
L1340	Promoteur	Promoteur	Lotissement	Lotissement
L1341	Promoteur	Promoteur	HLM	HLM
L1342	Propriétaire	Propriétaire	Locataire	Locataire
L1343	Propriétaire	Propriétaire	Logement	Logement
L1344	Publicité	Publicité	Mobilier urbain	Mobilier urbain
L1345	Publicité	Publicité	Paysage	Paysage
L1346	Publicité	Publicité	Commerce	Commerce
L1347	Quartier	Quartier	Division spatiale	Division spatiale
L1348	Quartier	Quartier	Ségrégation urbaine	Ségrégation
L1349	Quartier	Quartier	Voisinage	Voisinage
L1350	Radiale	Radiale	Voirie	Voirie
L1351	Radiale	Radiale	Pénétrante	Pénétrante
L1352	Radioconcentrique	Radioconcentrique	Voirie	Voirie
L1353	Radioconcentrique	Radioconcentrique	Pénétrante	Pénétrante
L1354	Radioconcentrique	Radioconcentrique	Radiale	Radiale
L1355	Radioconcentrique	Radioconcentrique	Rocade	Rocade
L1356	Ramassage des ordures ménagères	NA	Déchets ménagers	NA
L1357	Rationalisme	Rationalisme	Charte d'Athènes	Charte d'Athènes
L1358	Rationalisme	Rationalisme	Utopie	Utopie
L1359	Rationalisme	Rationalisme	Science-fiction	Science-fiction
L1360	Rationalisme	Rationalisme	Zonage	Zone, zonage, zoning
L1361	Réhabilitation	Réhabilitation	Façadisme	Façadisme
L1362	Réhabilitation	Réhabilitation	Gentrification	Gentrification
L1363	Réhabilitation	Réhabilitation	Patrimoine	Patrimoine urbain
L1364	Réhabilitation	Réhabilitation	Promotion	Promoteur
L1365	Réhabilitation	Réhabilitation	Rénovation	Rénovation
L1366	Réhabilitation	Réhabilitation	Restauration	Restauration
L1367	Réhabilitation	Réhabilitation	ZPPAUP	ZPPAUP
L1368	Rénovation	Rénovation	Patrimoine	Patrimoine urbain
L1369	Rénovation	Rénovation	Promotion	Promoteur
L1370	Rénovation	Rénovation	Réhabilitation	Réhabilitation
L1371	Rénovation	Rénovation	Requalification	Requalification
L1372	Rénovation	Rénovation	Restauration	Restauration
L1373	Rente	Rente	Gentrification	Gentrification
L1374	Rente	Rente	Maîtrise foncière	Maîtrise foncière
L1375	Rente	Rente	Prix	Prix foncier et immobilier
L1376	Rente	Rente	Plus value	Plus-value d'urbanisation
L1377	Rente	Rente	Réserve foncière	Réserve foncière
L1378	Rente	Rente	Spéculation	Spéculation
L1379	Représentation	Représentation	Cartographie	Carte
L1380	Représentation	Représentation	Identité	Identité
L1381	Représentation	Représentation	Image	Image
L1382	Représentation	Représentation	Imaginaire	Imaginaire urbain
L1383	Requalification	Requalification	Réhabilitation	Réhabilitation
L1384	Requalification	Requalification	Rénovation	Rénovation
L1385	Réseau	Réseau	Flux	Flux
L1386	Réseau	Réseau	Mobilité	Mobilité
L1387	Réseau	Réseau	Transport	Transport
L1388	Réseaux techniques	Réseaux techniques	Infrastructures	Infrastructures
L1389	Réseaux techniques	Réseaux techniques	Ingénieur	Ingénieur
L1390	Réseaux techniques	Réseaux techniques	Opérateur	Réseaux techniques
L1391	Réseaux techniques	Réseaux techniques	Réseau	Réseau
L1392	Réseaux techniques	Réseaux techniques	Sous-sol	Réseaux techniques
L1393	Réseaux techniques	Réseaux techniques	Viabilisation	Viabilité
L1394	Réseau urbain, réseau de villes	Réseau urbain	Aménagement du territoire	Aménagement du territoire
L1395	Réseau urbain, réseau de villes	Réseau urbain	DATAR	DATAR
L1396	Réseau urbain, réseau de villes	Réseau urbain	Théorie des lieux centraux	Théorie des lieux centraux
L1397	Réseau urbain, réseau de villes	Réseau urbain	Systèmes de villes	Système de villes
L1398	Réserve foncière	Réserve foncière	Maîtrise foncière	Maîtrise foncière
L1399	Réserve foncière	Réserve foncière	Planification urbaine	Planification urbaine
L1400	Résidence	Résidence	Domicile	Domicile
L1401	Résidence	Résidence	Logement	Logement
L1402	Résidence	Résidence	Maison	Maison
L1403	Restauration	Restauration	Association foncière urbaine	AFU
L1404	Restauration	Restauration	Patrimoine	Patrimoine urbain
L1405	Restauration	Restauration	Promotion	Promoteur
L1406	Restauration	Restauration	Réhabilitation	Réhabilitation
L1407	Restauration	Restauration	Rénovation	Rénovation
L1408	Risque	Risque	Environnement	Environnement
L1409	Risque	Risque	Incendie	Incendie
L1410	Risque	Risque	Sécurité	Sécurité
L1411	Risque	Risque	Vulnérabilité	Vulnérabilité
L1412	Rocade	Rocade	Autoroute	Autoroute
L1413	Rocade	Rocade	Voirie	Voirie
L1414	Route	Route	Réseau	Réseau
L1415	Route	Route	Transport	Transport
L1416	Route	Route	Voie	Voie
L1417	Route	Route	Voirie	Voirie
L1418	Rue	Rue	Allée	Allée
L1419	Rue	Rue	Axe	Axe
L1420	Rue	Rue	Carrefour	Carrefour
L1421	Rue	Rue	Plan	Plan
L1422	Rue	Rue	Voirie	Voirie
L1423	Rue-galerie	Rue-galerie	Espace public	Espace public
L1424	Rue-galerie	Rue-galerie	Labyrinthe	Labyrinthe
L1425	Rue-galerie	Rue-galerie	Rue	Rue
L1426	Rue-galerie	Rue-galerie	Utopie urbaine	Utopie urbaine
L1427	Rue piétonne	NA	Piéton	NA
L1428	Ruine	Ruine	Guerre	Guerre
L1429	Ruine	Ruine	Identité	Identité
L1430	Ruine	Ruine	Monument	Monument
L1431	Ruine	Ruine	Patrimoine	Patrimoine urbain
L1432	Rurbanisation	Rurbanisation	Étalement urbain	Étalement urbain
L1433	Rurbanisation	Rurbanisation	Péri-urbain	Péri-urbanisation
L1434	Rurbanisation	Rurbanisation	Urbanisation	Urbanisation
L1435	Rythmanalyse	Rythmanalyse	Nuit	Nuit
L1436	Rythmanalyse	Rythmanalyse	Temporalité	Temporalité
L1437	Salle de sport	Salle de sport	Infrastructure	Infrastructures
L1438	Salle de sport	Salle de sport	Services	Services
L1439	Schéma de cohérence territoriale (SCOT)	SCOT	Document d'urbanisme	Document d'urbanisme
L1440	Schéma de cohérence territoriale (SCOT)	SCOT	Schéma directeur	Schéma directeur
L1441	Schéma de cohérence territoriale (SCOT)	SCOT	Plan local d'urbanisme	PLU
L1442	Schéma directeur	Schéma directeur	Décentralisation	Décentralisation
L1443	Schéma directeur	Schéma directeur	Documents d'urbanisme	Document d'urbanisme
L1444	Schéma directeur	Schéma directeur	P.O.S.	POS
L1445	Schéma directeur	Schéma directeur	Urbanisme	Urbanisme
L1446	Science-fiction	Science-fiction	Imaginaire urbain	Imaginaire urbain
L1447	Sécurité	Sécurité	Citadinité	Citadinité
L1448	Sécurité	Sécurité	Insécurité	Insécurité
L1449	Sécurité	Sécurité	Police	Police
L1450	Sécurité	Sécurité	Risque	Risque
L1451	Sécurité	Sécurité	Urbanité	Urbanité
L1452	Ségrégation	Ségrégation	Banlieue	Banlieue
L1453	Ségrégation	Ségrégation	Communauté fermée	Communauté fermée
L1454	Ségrégation	Ségrégation	Exclusion	Exclusion
L1455	Ségrégation	Ségrégation	Ghetto	Ghetto
L1456	Ségrégation	Ségrégation	Droit à la ville	Droit à la ville
L1457	Ségrégation	Ségrégation	Politique de la ville	Politique de la ville
L1458	Sens	Sens	Ambiance	Ambiance urbaine
L1459	Sens	Sens	Bruit	Bruit
L1460	Sens	Sens	Charme	Charme
L1461	Sens	Sens	Couleur	Couleur
L1462	Sens	Sens	Odeur	Odeur
L1463	Services	Services	Base économique	Base économique
L1464	Services	Services	Centralité	Centralité
L1465	Services	Services	Fonction urbaine	Fonction urbaine
L1466	Servitude	Servitude	P.O.S.	POS
L1467	Servitude	Servitude	Propriété	Propriétaire
L1468	Servitude	Servitude	Urbanisme	Urbanisme
L1469	Site	Site	Paysage	Paysage
L1470	Site	Site	Aménagement	Aménagement du territoire
L1471	Site	Site	Situation	Situation
L1472	Situation	Situation	Accessibilité	Accessibilité
L1473	Situation	Situation	Carrefour	Carrefour
L1474	Situation	Situation	Fonction urbaine	Fonction urbaine
L1475	Situation	Situation	Porte	Porte
L1476	Situation	Situation	Site	Site
L1477	Situation	Situation	Système de villes	Système de villes
L1478	Situationnisme	Situationnisme	Dérive urbaine	Dérive
L1479	Situationnisme	Situationnisme	Marge	Marge, marginalité
L1480	Société d'économie mixte d'aménagement urbain	Société d'économie mixte d'aménagement urbain	Aménagement du territoire	Aménagement du territoire
L1481	Société d'économie mixte d'aménagement urbain	Société d'économie mixte d'aménagement urbain	Logement	Logement
L1482	Société d'économie mixte d'aménagement urbain	Société d'économie mixte d'aménagement urbain	Société d'économie mixte locale	Société d'économie mixte locale
L1483	Société d'économie mixte locale	Société d'économie mixte locale	Aménagement du territoire	Aménagement du territoire
L1484	Société d'économie mixte locale	Société d'économie mixte locale	Commune	Commune
L1485	Société d'économie mixte locale	Société d'économie mixte locale	Économie	Économie urbaine
L1486	Sociologie urbaine	Sociologie urbaine	Acteur	Acteur
L1487	Sociologie urbaine	Sociologie urbaine	Anthropologie urbaine	Anthropologie urbaine
L1488	Sociologie urbaine	Sociologie urbaine	Habitant	Habitant
L1489	Sociologie urbaine	Sociologie urbaine	Locataire	Locataire
L1490	Sociologie urbaine	Sociologie urbaine	Participation	Participation
L1491	Sociologie urbaine	Sociologie urbaine	Usager	Usager
L1492	Sociologie urbaine	Sociologie urbaine	Voisinage	Voisinage
L1493	Spéculation	Spéculation	Maîtrise foncière	Maîtrise foncière
L1494	Spéculation	Spéculation	Prix fonciers et immobiliers	Prix foncier et immobilier
L1495	Spéculation	Spéculation	Plus-value	Plus-value d'urbanisation
L1496	Spéculation	Spéculation	Rente	Rente
L1497	Squat	Squat	Logement	Logement
L1498	Squat	Squat	Exclusion	Exclusion
L1499	Squat	Squat	Taudis	Taudis
L1500	Stade	Stade	Loisir	Loisir
L1501	Stade	Stade	Infrastructure	Infrastructures
L1502	Station	Station	Fonction urbaine	Fonction urbaine
L1503	Station	Station	Littoral	Littoral
L1504	Station	Station	Loisir	Loisir
L1505	Station	Station	Lotissement	Lotissement
L1506	Station	Station	Spécialisation	Station
L1507	Station	Station	Tourisme	Tourisme
L1508	Stationnement	Stationnement	Automobile	Automobile
L1509	Stationnement	Stationnement	Circulation	Circulation
L1510	Stationnement	Stationnement	Mobilité	Mobilité
L1511	Stationnement	Stationnement	Péage urbain	Péage
L1512	Stationnement	Stationnement	Transport	Transport
L1513	Système d'information géographique	Système d'information géographique	Adressage	Adressage
L1514	Système d'information géographique	Système d'information géographique	Carte	Carte
L1515	Système d'information géographique	Système d'information géographique	Plan	Plan
L1516	Système d'information géographique	Système d'information géographique	Informatique	Informatique
L1517	Système d'information géographique	Système d'information géographique	Information	Information
L1518	Système de villes	Système de villes	Réseau urbain	Réseau urbain
L1519	Système de villes	Système de villes	Fonction urbaine	Fonction urbaine
L1520	Système de villes	Système de villes	Hiérarchie	Hiérarchie
L1521	Système de villes	Système de villes	Innovation	Innovation
L1522	Système de villes	Système de villes	Loi rang-taille	Loi rang-taille
L1523	Système de villes	Système de villes	Métropolisation	Métropolisation
L1524	Système de villes	Système de villes	Théorie des lieux centraux	Théorie des lieux centraux
L1525	Système de villes	Système de villes	Situation	Situation
L1526	Système de villes	Système de villes	Spécialisation	Système de villes
L1527	Tag	Tag	Art urbain	Art urbain
L1528	Tag	Tag	Civilité	Civilité
L1529	Taudis	Taudis	Abri	Abri
L1530	Taudis	Taudis	Bidonville	Bidonville
L1531	Taudis	Taudis	Insalubrité	Insalubrité
L1532	Taudis	Taudis	Logement	Logement
L1533	Taudis	Taudis	Lutte urbaine	Lutte urbaine
L1534	Taudis	Taudis	Politique de la ville	Politique de la ville
L1535	Taudis	Taudis	Squat	Squat
L1536	Taxe locale d'équipement	Taxe locale d'équipement	Fiscalité	Fiscalité
L1537	Taxe locale d'équipement	Taxe locale d'équipement	Infrastructures	Infrastructures
L1538	Taxe locale d'équipement	Taxe locale d'équipement	Planification urbaine	Planification urbaine
L1539	Taxe professionnelle	Taxe professionnelle	Budget	Budget
L1540	Taxe professionnelle	Taxe professionnelle	Communauté d'agglomération	Communauté d'agglomération
L1541	Taxe professionnelle	Taxe professionnelle	Fiscalité	Fiscalité
L1542	Taxe professionnelle	Taxe professionnelle	Patente	Patente
L1543	Taxi	Taxi	Automobile	Automobile
L1544	Taxi	Taxi	Circulation	Circulation
L1545	Taxi	Taxi	Transport	Transport
L1546	Tchatche	Tchatche	Gang	Tchatche
L1547	Tchatche	Tchatche	Marge	Marge, marginalité
L1548	Technopole	Technopole	Base économique	Base économique
L1549	Technopole	Technopole	Fonction urbaine	Fonction urbaine
L1550	Technopole	Technopole	Spécialisation	Technopole
L1551	Technopôle	Technopôle	Fonction urbaine	Fonction urbaine
L1552	Technopôle	Technopôle	Pôle	Pôle
L1553	Technopôle	Technopôle	Technopole	Technopole
L1554	Télécommunication	Télécommunication	Communication	Communication
L1555	Télécommunication	Télécommunication	Distance	Distance
L1556	Télécommunication	Télécommunication	Réseau	Réseau
L1557	Télécommunication	Télécommunication	Temporalité	Temporalité
L1558	Temporalité	Temporalité	Contraction espace-temps	Contraction de l'espace-temps
L1559	Temporalité	Temporalité	Fonction urbaine	Fonction urbaine
L1560	Temporalité	Temporalité	Histoire urbaine	Histoire urbaine
L1561	Temporalité	Temporalité	Innovation	Innovation
L1562	Temporalité	Temporalité	Mobilité	Mobilité
L1563	Temporalité	Temporalité	Nuit	Nuit
L1564	Temporalité	Temporalité	Transition urbaine	Transition urbaine
L1565	Terrain	Terrain	Prix fonciers	Prix foncier et immobilier
L1566	Terrain	Terrain	Économie urbaine	Économie urbaine
L1567	Terrain	Terrain	Propriétaire	Propriétaire
L1568	Territoire	Territoire	Anthropologie de l'espace	Anthropologie de l'espace
L1569	Territoire	Territoire	Citadinité	Citadinité
L1570	Territoire	Territoire	Citoyen	Citoyenneté
L1571	Territoire	Territoire	Droit à la ville	Droit à la ville
L1572	Territoire	Territoire	Communauté fermée	Communauté fermée
L1573	Territoire	Territoire	Exclusion	Exclusion
L1574	Territoire	Territoire	Ghetto	Ghetto
L1575	Territoire	Territoire	Identité	Identité
L1576	Territoire	Territoire	Ségrégation	Ségrégation
L1577	Théorie des lieux centraux	Théorie des lieux centraux	Aire de chalandise	Aire de marché
L1578	Théorie des lieux centraux	Théorie des lieux centraux	Centralité	Centralité
L1579	Théorie des lieux centraux	Théorie des lieux centraux	Fonction urbaine	Fonction urbaine
L1580	Théorie des lieux centraux	Théorie des lieux centraux	Hiérarchie urbaine	Hiérarchie
L1581	Théorie des lieux centraux	Théorie des lieux centraux	Portée	Portée
L1582	Thermes	Thermes	Aqueduc	Aqueduc
L1583	Thermes	Thermes	Confort	Confort
L1584	Thermes	Thermes	Eau	Eau
L1585	Thermes	Thermes	Station	Station
L1586	Tissu urbain	Tissu urbain	Morphologie	Morphologie
L1587	Tissu urbain	Tissu urbain	Patrimoine urbain	Patrimoine urbain
L1588	Tissu urbain	Tissu urbain	Rue	Rue
L1589	Tissu urbain	Tissu urbain	Sitologie	Site
L1590	Tissu urbain	Tissu urbain	Voirie	Voirie
L1591	Topoanalyse	Topoanalyse	Imaginaire urbain	Imaginaire urbain
L1592	Tourisme	Tourisme	Fonction urbaine	Fonction urbaine
L1593	Tourisme	Tourisme	Parc de loisirs	Parc de loisirs
L1594	Tourisme	Tourisme	Patrimoine urbain	Patrimoine urbain
L1595	Tourisme	Tourisme	Services	Services
L1596	Tourisme	Tourisme	Touriste	Touriste
L1597	Touriste	Touriste	Musée	Musée
L1598	Touriste	Touriste	Patrimoine urbain	Patrimoine urbain
L1599	Touriste	Touriste	Tourisme	Tourisme
L1600	Township	Township	Ghetto	Ghetto
L1601	Township	Township	Ségrégation	Ségrégation
L1602	Township	Township	Lotissement	Lotissement
L1603	Tramway	Tramway	Circulation	Circulation
L1604	Tramway	Tramway	Flux	Flux
L1605	Tramway	Tramway	Rue	Rue
L1606	Tramway	Tramway	Moyen de transport	Moyen de transport
L1607	Transition urbaine	Transition urbaine	Civilisation urbaine	Civilisation urbaine
L1608	Transition urbaine	Transition urbaine	Habitat	Habitat
L1609	Transition urbaine	Transition urbaine	Ville	Ville
L1610	Transition urbaine	Transition urbaine	Urbanisation	Urbanisation
L1611	Transport	Transport	Aéroport	Aéroport
L1612	Transport	Transport	Accessibilité	Accessibilité
L1613	Transport	Transport	Automobile	Automobile
L1614	Transport	Transport	Bicyclette	Bicyclette
L1615	Transport	Transport	Centralité	Centralité
L1616	Transport	Transport	Gare	Gare
L1617	Transport	Transport	Mobilité	Mobilité
L1618	Transport	Transport	Multimodalité	Multimodalité
L1619	Transport	Transport	Réseau	Réseau
L1620	Transport	Transport	Vitesse	Vitesse
L1621	Transport	Transport	Voie	Voie
L1622	Trottoir	Trottoir	Banc public	Banc public
L1623	Trottoir	Trottoir	Confort	Confort
L1624	Trottoir	Trottoir	Mobilier urbain	Mobilier urbain
L1625	Trottoir	Trottoir	Rue	Rue
L1626	Unité de voisinage	Unité de voisinage	Planification urbaine	Planification urbaine
L1627	Unité de voisinage	Unité de voisinage	Grand ensemble	Grand ensemble
L1628	Unité urbaine	Unité urbaine	Agglomération	Agglomération
L1629	Unité urbaine	Unité urbaine	Commune	Commune
L1630	Université	Université	Fonction urbaine	Fonction urbaine
L1631	Université	Université	Urbanisme	Urbanisme
L1632	Urbain (l')	Urbain (l')	Civilisation urbaine	Civilisation urbaine
L1633	Urbain (l')	Urbain (l')	Ville	Ville
L1634	Urbain (l')	Urbain (l')	Urbanisation	Urbanisation
L1635	Urbanisation	Urbanisation	Civilisation urbaine	Civilisation urbaine
L1636	Urbanisation	Urbanisation	Croissance urbaine	Croissance urbaine
L1637	Urbanisation	Urbanisation	Transition urbaine	Transition urbaine
L1638	Urbanisation	Urbanisation	Ville	Ville
L1639	Urbanisation	Urbanisation	Urbain	Urbain (l')
L1640	Urbanisme	Urbanisme	Advocacy planning	Advocacy planning
L1641	Urbanisme	Urbanisme	Art urbain	Art urbain
L1642	Urbanisme	Urbanisme	Charte d'Athènes	Charte d'Athènes
L1643	Urbanisme	Urbanisme	CAUE	CAUE
L1644	Urbanisme	Urbanisme	Droit à l'urbanisme	Droit de l'urbanisme
L1645	Urbanisme	Urbanisme	Gouvernance urbaine	Gouvernance urbaine
L1646	Urbanisme	Urbanisme	Hausmannisation	Haussmannisation
L1647	Urbanisme	Urbanisme	Histoire de l'urbanisme	Histoire de l'urbanisme
L1648	Urbanisme	Urbanisme	Politique de la ville	Politique de la ville
L1649	Urbanisme*	Urbanisme*	NA	Urbanisme*
L1650	Urbanisme commercial	Urbanisme commercial	Commerce	Commerce
L1651	Urbanisme commercial	Urbanisme commercial	Grand magasin	Grand magasin
L1652	Urbanisme commercial	Urbanisme commercial	Passage	Passage
L1653	Urbanisme commercial	Urbanisme commercial	Urbanisme	Urbanisme
L1654	Urbanisme de dalle	Urbanisme de dalle	Espace public	Espace public
L1655	Urbanisme de dalle	Urbanisme de dalle	Espace urbain	Espace urbain
L1656	Urbanisme de dalle	Urbanisme de dalle	Grand ensemble	Grand ensemble
L1657	Urbanisme de dalle	Urbanisme de dalle	Limite	Limite
L1658	Urbanisme de dalle	Urbanisme de dalle	Urbanisme	Urbanisme
L1659	Urbanisme souterrain	Urbanisme souterrain	Science-fiction	Science-fiction
L1660	Urbanisme souterrain	Urbanisme souterrain	Urbanisme	Urbanisme
L1661	Urbaniste	Urbaniste	Acteur	Acteur
L1662	Urbaniste	Urbaniste	Architecture	Architecture urbaine
L1663	Urbaniste	Urbaniste	Ingénieur	Ingénieur
L1664	Urbaniste	Urbaniste	Politique de la ville	Politique de la ville
L1665	Urbaniste	Urbaniste	Urbanisme	Urbanisme
L1666	Urbanité	Urbanité	Civilité	Civilité
L1667	Urbanité	Urbanité	Civilisation urbaine	Civilisation urbaine
L1668	Urbanité	Urbanité	Citadinité	Citadinité
L1669	Urbanologie	Urbanologie	Espace urbain	Espace urbain
L1670	Urbanologie	Urbanologie	Urbanisme	Urbanisme
L1671	Urban sprawl	Urban sprawl	Città diffusa	Città diffusa
L1672	Urban sprawl	Urban sprawl	Edge city	Edge city
L1673	Urban sprawl	Urban sprawl	Étalement urbain	Étalement urbain
L1674	Urban sprawl	Urban sprawl	Limite	Limite
L1675	Urban sprawl	Urban sprawl	Zwischenstadt	Zwischenstadt
L1676	Urbicide	Urbicide	Civilité	Civilité
L1677	Urbicide	Urbicide	Urbanité	Urbanité
L1678	Usager	Usager	Acteur	Acteur
L1679	Usager	Usager	Habitant	Habitant
L1680	Usager	Usager	Sociologie urbaine	Sociologie urbaine
L1681	Utopie	Utopie	Imaginaire	Imaginaire urbain
L1682	Utopie	Utopie	Identité	Identité
L1683	Utopie urbaine	Utopie urbaine	Imaginaire	Imaginaire urbain
L1684	Utopie urbaine	Utopie urbaine	Projet urbain	Projet urbain
L1685	Utopie urbaine	Utopie urbaine	Utopie	Utopie
L1686	Vernaculaire	Vernaculaire	Architecture	Architecture urbaine
L1687	Vernaculaire	Vernaculaire	Couleur	Couleur
L1688	Vernaculaire	Vernaculaire	Identité	Identité
L1689	Vernaculaire	Vernaculaire	Patrimoine	Patrimoine urbain
L1690	Viabilité	Viabilité	Génie urbain	Génie urbain
L1691	Viabilité	Viabilité	Permis de construire	Permis de construire
L1692	Viabilité	Viabilité	Réseaux	Réseau
L1693	Viabilité	Viabilité	Voirie	Voirie
L1694	Village urbain	Village urbain	Communauté fermée	Communauté fermée
L1695	Village urbain	Village urbain	Urbanisme	Urbanisme
L1696	Ville	Ville	Agglomération	Agglomération
L1697	Ville	Ville	Échelle	Échelle
L1698	Ville	Ville	Habitat	Habitat
L1699	Ville	Ville	Hiérarchie urbaine	Hiérarchie
L1700	Ville	Ville	Histoire des villes	Histoire des villes
L1701	Ville	Ville	Mégapole	Mégapole
L1702	Ville	Ville	Métropole	Métropole
L1703	Ville	Ville	Système de villes	Système de villes
L1704	Ville	Ville	Urbanisation	Urbanisation
L1705	Ville durable	Ville durable	Écologie	Écologie
L1706	Ville durable	Ville durable	Environnement	Environnement
L1707	Ville durable	Ville durable	Développement durable	Développement durable
L1708	Ville durable	Ville durable	Métabolisme urbain	Métabolisme urbain
L1709	Ville émergente	Ville émergente	Étalement urbain	Étalement urbain
L1710	Ville émergente	Ville émergente	Urbain	Urbain (l')
L1711	Ville globale ou ville mondiale	Ville globale	Réseau	Réseau
L1712	Ville globale ou ville mondiale	Ville globale	Système de villes	Système de villes
L1713	Ville globale ou ville mondiale	Ville globale	Ville internationale	Ville internationale
L1714	Ville internationale	Ville internationale	Fonction urbaine	Fonction urbaine
L1715	Ville nouvelle	Ville nouvelle	Aménagement du territoire	Aménagement du territoire
L1716	Ville nouvelle	Ville nouvelle	Bastide	Bastide
L1717	Ville nouvelle	Ville nouvelle	Capitale	Capitale
L1718	Ville nouvelle	Ville nouvelle	Transport	Transport
L1719	Ville nouvelle	Ville nouvelle	Urbanisme	Urbanisme
L1720	Ville satellite	Ville satellite	Banlieue	Banlieue
L1721	Ville satellite	Ville satellite	Ville nouvelle	Ville nouvelle
L1722	Violence urbaine	Violence urbaine	Insécurité	Insécurité
L1723	Violence urbaine	Violence urbaine	Police	Police
L1724	Vitesse	Vitesse	Circulation	Circulation
L1725	Vitesse	Vitesse	Champ urbain	Champ urbain
L1726	Vitesse	Vitesse	Contraction espace-temps	Contraction de l'espace-temps
L1727	Vitesse	Vitesse	Espace urbain	Espace urbain
L1728	Vitesse	Vitesse	Mobilité	Mobilité
L1729	Vitesse	Vitesse	Transport	Transport
L1730	Vitrine	Vitrine	Centre commercial	Commerce
L1731	Vitrine	Vitrine	Commerce	Commerce
L1732	Vitrine	Vitrine	Passage	Passage
L1733	Vitrine	Vitrine	Rue-galerie	Rue-galerie
L1734	Vitrine	Vitrine	Urbanisme commercial	Urbanisme commercial
L1735	Voie	Voie	Voirie	Voirie
L1736	Voie	Voie	Allée	Allée
L1737	Voie	Voie	Passage	Passage
L1738	Voie	Voie	Pénétrante	Pénétrante
L1739	Voie	Voie	Radiale	Radiale
L1740	Voie	Voie	Rocade	Rocade
L1741	Voie	Voie	Rue	Rue
